"sp_ABC","chrom","win","n_nodes","win_start","win_mid_Mb","PBSa_5Mb","species_label"
"A","1",0,3716,0,0.5,NA,"C. caryae"
"A","1",1,217,1e+06,1.5,NA,"C. caryae"
"A","1",2,670,2e+06,2.5,NA,"C. caryae"
"A","1",3,2313,3e+06,3.5,NA,"C. caryae"
"A","1",4,58,4e+06,4.5,4433.73183672626,"C. caryae"
"A","1",5,171,5e+06,5.5,2424.57480808491,"C. caryae"
"A","1",6,1160,6e+06,6.5,2679.00615900748,"C. caryae"
"A","1",7,91,7e+06,7.5,2595.46816586141,"C. caryae"
"A","1",8,63,8e+06,8.5,1179.17555944821,"C. caryae"
"A","1",9,58,9e+06,9.5,1179.17555944821,"C. caryae"
"A","1",10,1261,1e+07,10.5,1717.94499329868,"C. caryae"
"A","1",11,152,1.1e+07,11.5,1276.2597697961,"C. caryae"
"A","1",12,946,1.2e+07,12.5,1586.02458997331,"C. caryae"
"A","1",13,109,1.3e+07,13.5,1588.51691838646,"C. caryae"
"A","1",14,1012,1.4e+07,14.5,1882.59554870397,"C. caryae"
"A","1",15,674,1.5e+07,15.5,1551.87660591943,"C. caryae"
"A","1",16,55,1.6e+07,16.5,1545.39380094525,"C. caryae"
"A","1",17,281,1.7e+07,17.5,1253.90868886056,"C. caryae"
"A","1",18,1202,1.8e+07,18.5,1733.55415260095,"C. caryae"
"A","1",19,357,1.9e+07,19.5,1452.07265658437,"C. caryae"
"A","1",20,217,2e+07,20.5,1304.34964637554,"C. caryae"
"A","1",21,1068,2.1e+07,21.5,1684.91157037988,"C. caryae"
"A","1",22,49,2.2e+07,22.5,1662.03700319818,"C. caryae"
"A","1",23,149,2.3e+07,23.5,1157.48174931616,"C. caryae"
"A","1",24,42,2.4e+07,24.5,1101.85253096773,"C. caryae"
"A","1",25,26,2.5e+07,25.5,1080.58595215744,"C. caryae"
"A","1",26,5,2.6e+07,26.5,164.520515438045,"C. caryae"
"A","1",27,5,2.7e+07,27.5,157.133701031956,"C. caryae"
"A","1",28,225,2.8e+07,28.5,230.466917365595,"C. caryae"
"A","1",29,69,2.9e+07,29.5,236.879716311887,"C. caryae"
"A","1",30,1161,3e+07,30.5,1184.63369865963,"C. caryae"
"A","1",31,89,3.1e+07,31.5,1187.96169971931,"C. caryae"
"A","1",32,1358,3.2e+07,32.5,1804.27048969937,"C. caryae"
"A","1",33,116,3.3e+07,33.5,1793.94063446927,"C. caryae"
"A","1",34,46,3.4e+07,34.5,1793.20327905121,"C. caryae"
"A","1",35,259,3.5e+07,35.5,1390.94859718107,"C. caryae"
"A","1",36,88,3.6e+07,36.5,1390.884970082,"C. caryae"
"A","1",37,359,3.7e+07,37.5,468.271288891386,"C. caryae"
"A","1",38,75,3.8e+07,38.5,459.833665579196,"C. caryae"
"A","1",39,934,3.9e+07,39.5,1040.04182608201,"C. caryae"
"A","1",40,181,4e+07,40.5,1023.40949770852,"C. caryae"
"A","1",41,0,4.1e+07,41.5,1019.61904650708,"C. caryae"
